fid,CuadrID,latitude,longitude,Area_hec,HIE_FAS,SAL_SAL,ALY_DIC,DIS_JEA,VIP_LAT,CAP_PYR,CAN_LUP,URS_ARC,MUS_LUT,GAL_PYR,ATE_ALG,MAC_CAL,PAR_APO,LUC_CER,APT_APT,LOP,LOP2,LOP3,LALOP2,LA2LOP,LALOP,LA2,LA3,LA,ORS,ORW,ALTI,ALTI2,PEND,PEND2,DAUT,DIHE,DIPR,ESCO,ETP,ETR,HUEN,HUJU,INSO,PERM,PM24,PMR,PREC,RADS,TENE,TJUL,TMED,U100,U500
"1",1,37,-7,284,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2.58191,6.66625,17.21168,248.42091,3585.53516,96.216,1388.7168,51751.23438,37.26549,138.81407,131.18593,15.16667,230.02779,1.17592,1.38279,4.75837,1.33333,67.21462,50.87604,927.55426,460.19189,87.55429,70.25665,3064.47998,1,132.90649,0.28882,460.19189,5.01445,10.36291,24.50685,16.88461,41.93833,126.46083
"2",2,37,-7,1276,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",2.57573,6.63442,17.08865,247.71114,3590.75024,96.17072,1394.06885,52050.71484,37.33722,96.87788,112.29416,39,1521,2.50892,6.29466,12.85517,2.8,62.57193,42.85178,930.60901,474.1011,88.11726,70.4613,3045.8833,1,141.56825,0.29859,474.1011,4.96375,10.25103,24.55461,16.80171,43.38237,126.40523
"3",3,37,-7,3094,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",2.56746,6.59198,16.92533,246.78922,3598.53418,96.12014,1401.59766,52472.94141,37.43791,91.77023,113.93616,90.25,8145.0625,2.93353,8.60562,23.74001,4.88889,60.20173,49.60496,927.04742,469.06125,88.86726,70.75042,3036.32324,1,147.23605,0.3139,469.06125,4.88655,10.29528,24.55264,16.64681,47.35172,126.9873
"4",4,37,-7,6950,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",2.54576,6.4816,16.50413,243.25792,3585.82642,95.54402,1408.552,52863.94922,37.53067,85.69625,96.24624,154.14635,23761.09629,2.83406,8.0319,34.21418,6.96341,62.08788,64.41359,910.76416,460.4028,89.56413,70.7868,3029.45361,1,146.73166,0.31876,460.4028,4.81526,10.28307,24.48292,16.55151,53.78852,129.63977
"5",5,37,-7,5152,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0",2.55452,6.52603,16.67327,245.44559,3613.42676,96.07576,1414.51782,53200.15625,37.61007,84.66136,88.09979,115.32204,13299.17215,1.95801,3.8338,42.71768,8.66102,64.35519,76.72879,901.19019,486.21201,89.80002,70.99774,3041.5625,1,139.12956,0.2864,486.21201,4.75719,10.31978,24.4876,16.66281,58.11293,130.08372
"6",6,37,-7,1772,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2.57804,6.64637,17.13492,250.52235,3662.8147,97.17455,1420.77332,53553.4375,37.69314,87.60632,124.87433,143,20449,1.90391,3.62488,51.7557,10.66667,68.10049,88.52167,889.91913,552.17322,89.92225,71.40102,3062.16113,1,125.98521,0.22898,552.17322,4.71855,10.28097,24.4643,16.76504,62.75886,130.09628
"8",8,37,-7,2642,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",2.64837,7.01438,18.57943,260.84216,3662.30444,98.4842,1382.84912,51423.57422,37.18668,72.21969,92.23389,13.07143,170.86224,0.48372,0.23398,7.65669,0,67.54669,61.06999,924.92291,425.15448,86.9904,70.45243,3073.26147,3,116.31448,0.27361,425.15448,5.05128,10.79551,24.5211,17.32912,36.9589,121.83208
"9",9,37,-7,9675,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",2.64507,6.99737,18.51371,260.65366,3670.24585,98.52945,1387.58069,51687.76562,37.25024,107.01712,92.10117,50.04504,2504.50642,1.14356,1.30772,7.62696,0.90991,65.53064,50.43243,929.72046,437.20886,87.48151,70.56802,3076.43286,2.2973,124.35591,0.28445,437.20886,5.02316,10.60078,24.6382,17.19325,36.52823,121.16653
"10",10,37,-7,10031,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",2.64065,6.97415,18.42217,260.43112,3682.25928,98.60807,1394.45129,52072.12891,37.34234,97.51727,92.665,115.23729,13279.63287,1.45057,2.10416,14.74369,2.85593,61.15274,44.84121,934.69757,459.11584,88.16473,70.83409,3079.09082,1.33898,134.45439,0.29278,459.11584,4.9668,10.39801,24.75154,17.03345,37.94217,120.72768
"11",11,37,-7,10031,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",2.64424,6.99317,18.49768,261.77527,3705.19995,98.98205,1401.23438,52452.53516,37.43306,99.04717,95.18526,152.5,23256.25,1.5386,2.36729,24.32573,5.08621,59.28693,54.43686,934.64459,461.08603,88.86793,71.34719,3069.57031,1,137.8148,0.29891,461.08603,4.88767,10.48298,24.79416,16.91309,41.23086,120.39844
